目錄﹕/open/world1/acme/area/npc/wp/
arrow.c             木箭                axe.c               斧頭              
axe2.c              小手斧              blade.c             砍刀              
blade2.c            絕地邪刀            blade3.c            大刀              
bow.c               長弓                dagger.c            匕首              
evilsword.c         辟邪劍              fist.c              錦衣爪            
godsword.c          神武劍              hammer.c            鐵鎚              
hoe.c               鋤頭                hung.c              紅塵劍            
longsword.c         長劍                longsword1.c        昊戠長劍          
longsword2.c        錦衣劍              peachsword.c        天師桃木劍        
pike.c              飛震槍              pike2.c             錦衣槍            
rod.c               釣竿                s_blade.c           塵風刀            
staff.c             禪杖                stick.c             長棍              
sunsword.c          懾日劍              sword.c             短劍              
sword1.c            木劍                sword2.c            金錢劍            
sword3.c            戰天神劍            
