目錄﹕/open/world1/acme/area2/npc/eq/
armor.c             艮山黃金戰甲        boots.c             飄雪靴            
boots2.c            麻鞋                cloak.c             硬皮甲斗蓬        
cloth.c             黑袍                finger.c            虎形戒            
ghostcloak.c        冥王天斗            ghostmask.c         冥王鬼面          
gloves.c            蛇皮手套            hands.c             星雲護腕          
helmet.c            軹瓏頭盔            mask.c              冥王鬼面          
neck.c              碧玉項鍊            shield.c            鬼頭盾            
shield2.c           坎水銀盾            surcoat.c           天妖披風          
surcoat2.c          乾天披風            waist.c             人皮腰帶          
waist2.c            兌澤腰帶            wrists.c            坤地護腕          

