目錄﹕/open/world1/cominging/area/npc/eq/
boots.c             重厚皮靴            bronzering.c        青銅指環          
cloudarmor.c        綠彩盔甲            corsletmanteau.c    甲冑              
defaulteq.c         預備衣物            e_cloth.c           滿汗短襯          
flurryneck.c        疾風                flyarmor.c          飛羽              
flyboots.c          輕步                gloves.c            布套手            
hookgloves.c        鐮刀                incrystate.c        硬皮甲            
mightwrists.c       強力護腕            s_cloth.c           薄絲衣衫          
sandal.c            草鞋                snakecloth.c        蛇鱗              
steelhead.c         鐵頭盔              steelshield.c       鋼鐵護盾          
surcoat.c           繡布披風            swatheshoe.c        纏布鞋            
tg_armor.c          皮鎧甲              tg_boots.c          過膝長靴          
whiterobe.c         淨白長袍            wrists.c            纏布護腕          
yungcloth.c         鴦騫                
