目錄﹕/open/world1/cominging/area/npc/obj/
appill.c            回元丹              bag.c               小布袋            
big-pill.c          內息丹              cloth.c             烏蠶絲布          
cloth1.c            紫梓布              cloth2.c            藍布              
cloth3.c            銀絲                cloth4.c            絲絨              
cloth5.c            粗蠶布              cloth6.c            錦緞              
flower.c            紅龍花              gcflower.c          紫蘇玉蘭          
gsflower.c          紫蘇玉蘭            heal_stone.c        麥梵石            
metallizer.c        金沙                musci.c             蘚苔              
oldman_book.c       小冊子              orange.c            柳橙              
pdragon-herb.c      紫龍草              shelf.c             書架              
sign.c              告示牌              toy.c               童玩              
tp_candy.c          潤喉糖              tp_candy_bak.c      潤喉糖            
well.c              水井                winebag.c           酒袋              
winepot.c           一瓶瓶的酒甕        wtree.c             梧桐樹            

