目錄﹕/open/world1/cominging/purple_sun/npc/
bear_war.c          野熊                big_bear.c          大熊              
boar_war.c          山豬                king.c              獸王之王          
leopard.c           野豹\               leopard_war.c       豹\               
mouse.c             老鼠                oldman.c            江樂勝            
oldman2.c           洪怨桓              oldman3.c           廣自成            
oldman4.c           周進山              passenger.c         路人              
rod_war.c           野鵰                small_bear.c        小熊              
snake_war.c         大蟒蛇              squirrel.c          松鼠              
tiger.c             老虎                tiger_war.c         猛虎              
wildcat.c           野貓                wildcat_war.c       野貓              

