目錄﹕/open/world1/eq/
b_pants.c           破布長褲            bc_cloak.c          八歧披風          
bh_leg.c            不和脛甲            big_pan.c           青鐵馬掛筆        
black_suit.c        天梟護身符          bone_helmet.c       鯊骨盔            
bronze_blade.c      青銅刀              bs_boots.c          獸皮靴            
bs_hands.c          普賢護腕            bt_neck.c           菩提項鍊          
clam_shield.c       巨蚌盾              cloth.c             布衣              
clothes_8.c         粗布麻衫            cloud_ring.c        扣雲戒            
crossbow.c          十字弓              dex_boots.c         玲瓏靴            
dragon_blade.c      龍                  fk_gloves.c         炎殺手套          
fur_waist.c         獸皮巾帶            ghost_blade.c       鬼頭刃            
ghost_plate.c       鬼甲                gold_fur_boots.c    金絲亮皮履        
gr_ring.c           大地指環            gs_waist.c          金縷\腰帶         
iron_hammer.c       鏽鐵鎚              mb_wing.c           魔鳥翼            
mf_armor.c          魔炎甲              mica_shield.c       雲母巨盾          
moon_skirt.c        月華裙              nine_blade.c        九環刃            
sea_cloth.c         寬腰大馬掛          sea_uniform.c       制服              
shootbow.c          弩                  sl_mask.c           修羅金面          
soldier_boots.c     水師軍靴            steel_blade.c       鋼刀              
sun_blade.c         金陽刀              tree_ring.c         樹精戒            
viper_cloth.c       蟒錦戰衣            water_boots.c       踩水靴            
white_blade.c       白色長刃            worker_cloth.c      工作服            
ws_cloth.c          無形之衣            ys_helmet.c         牙曉盔            

