目錄﹕/open/world1/faceoff/sky/npc/
chen_chi.c          陳崎                child.c             村童              
chini.c             奇倪獸              cw_taoist.c         雲風聖道          
doctor.c            苗芃                dog.c               黑狗              
ghost.c             毋獸                ghost1.c            冥衛              
ghost2.c            薦獸                ghost3.c            萬滅靈蠱          
maigu.c             滅骨獸              meo_chung.c         苗杖七            
meo_guard.c         苗家村守衛          monk.c              雲遊僧            
obj mountain_vegetable.c  白干                sky_guard.c         守衛              
sky_leader.c        苗青                star_necklace.c     殞星老者          
star_old_man.c      殞星老者            ten_waiter.c        店小二            
wo.c                霧獸                
