目錄﹕/open/world1/ksj/lost_island/npc/eq/
apollo-armor.c      阿波羅黃金鎧甲      apollo-stele.c      太陽神石碑        
black-dog-bone.c                        black-magic-robe.c  黑色長袍          
blood-eye-dragon-armor.c  血眼                bone.c              一堆白骨          
brambly-crown.c     荊棘頭冠            captain-corpse.c    船長的屍體        
captain-hat.c       染血船長帽          chimera-boots.c     獅爪靴            
cow-skin-armor.c    刺牛皮甲            cow-skin-hat.c      刺牛皮盔          
crystal-corslet.c   水晶胸鎧            crystal-shield.c    水晶盾牌          
deerskin-boots.c    鹿皮靴              deerskin-gloves.c   鹿皮手套          
deerskin-surcoat.c  鹿皮披風            diamond-earring.c   鑽石耳環          
diamond-necklace.c  鑽石項鏈            diamond-ring.c      鑽石戒指          
dragon-eye.c        地龍眼              feather-surcoat.c   絨羽披風          
fire-wolf-pants.c   火狼毛褲            fire-wolf-surcoat.c  火狼裘衣          
fly-sea-stone.c     翔 海 石            gold-armor.c        黃金鎧甲          
gold-boots.c        黃金長靴            gold-coin.c         古金幣            
gold-earring.c      黃金耳環            gold-finger.c       黃金戒指          
gold-leggings.c     黃金脛甲            gold-mask.c         黃金面具          
gold-necklace.c     黃金項鏈            gold-shield.c       黃金盾牌          
gold-waist.c        黃金腰帶            gold-wrists.c       黃金護腕          
gold.c              金銀財寶            green-snake-waist.c  青鱗束帶          
honey.c             蜂蜜                horn-bugle.c        紗牙羅號角        
huge-tiger-cloth.c  虎紋皮衣            huge-turtle-armor.c  鼇殼甲冑          
huge-turtle-shield.c  巨鼇甲盾            intellect-staff.c   智者之杖          
inverse-horn-helmet.c  逆角                iron-beetle-shield.c  蟲甲盾            
jade-toad-wrists.c  玉蟾護腕            leviathan-earring.c  海神耳環          
leviathan-mask.c    海神護面            poison-snake-pill.c  腐毒丹丸          
poison-snake-waist.c  腐毒束帶            primeval-dagger.c   古紋匕首          
primeval-sword.c    太古神器            purple-jade-ring.c  紫玉戒            
red-journal.c       航海日誌            sailorman-blade.c   水手彎刀          
sea-stone.c         碧 海 石            shell-dragon-armor.c  鐵龍刺甲          
shell-dragon-blood.c  鐵龍血              silver-dragon-claw.c  銀翼龍爪          
silver-dragon-heart.c  銀翼龍心            silver-snake-waist.c  銀鱗束帶          
sky-bead.c          天翔珠              soul-finger.c       清靈之戒          
stone1.c            碎石片              stone2.c            碎石片            
tiger-blade.c       虎牙刀              tiger-claw.c        劍牙虎爪          
tiger-dagger.c      虎牙匕首            tiger-staff.c       虎骨長杖          
tiger-sword.c       虎牙劍              tiger-whip.c        虎尾長鞭          
treasure-paper1.c   破爛的羊皮紙        treasure-paper2.c   破爛的羊皮紙      
treasure-paper3.c   破爛的羊皮紙        xiangliu-cloth.c    相柳鱗衣          
xiangliu-pill.c     相柳內丹            xiangliu_cloth.c    相柳鱗衣          
xiangliu_pill.c     相柳內丹            
