目錄﹕/open/world1/moonhide/pool/npc/obj/
bolt.c              爆烈之箭            chi-lin-armor.c     勁爆              
chisel-claw.c       巨鵰爪              dragon-boots.c      龍騰靴            
evil-blade.c        魔　刀              lbg.c               妖精糧食          
machine.c           對換機              mie-blade.c         滅                
paper.c             牛皮紙              perple-bow.c        紫煌定風弓        
perple-bow2.c       紫煌定風弓          perple-sword.c      紫煌定風劍        
perple-sword2.c     紫煌定風劍          purple-bow.c        紫煌定風弓        
purple-bow2.c       紫煌定風弓          purple-kasaya.c     紫羅袈裟          
purple-sword.c      紫煌定風劍          purple-sword2.c     紫煌定風劍        
scroll.c            妖精捲軸            shield.c            水鏡之盾          
sky-pearl.c         隴天                snake-liver.c       血蛟膽            
snake-waist.c       血蛟軔帶            snake-waist2.c      血蛟軔帶          
soul-claw.c         追魂                soul-claw2.c        追魂              
ten-sword.c         十方俱滅            test.c              水鏡之盾          
ticket.c            經驗票              tiger-mask.c        猛虎面罩          
turtle-armor.c      玄                  turtle-armor2.c     玄                
turtle-liver.c      玄沉                
