目錄﹕/open/world1/obj/
bear_bolt.c         熊之臂彎            black_pearl.c       黑珍珠            
blood_horse.c       南海赤馬            bolt.c              弩箭              
carp_meat.c         鯉魚肉              clam_shell.c        巨蚌殼            
corpse.c            碎屍                east_mark.c         東副師的官印      
eel_meat.c          鰻魚肉              fish_meat.c         魚肉              
game_card.c         參賽證              gold_tackle.c       金絲漁網          
light_cloth.c       玲瓏魚皮            manto.c             饅頭              
mark.c              徽記                paper.c             簽出條            
pearl.c             珍珠                shark_bone.c        鯊骨              
ts_bag.c            百寶袋              tunny_meat.c        鮪魚肉            
wang_mark.c         王霸的官印          west_mark.c         西副師的官印      
wood_arrow.c        木箭                
