目錄﹕/open/world1/whoami/birdarea/npc/eq/
axe.c               伐木鐵斧            bar-neck.c          闇                
boots.c             羽鞋                boots2.c            薄雲              
cloth.c             羽衣                cloth2.c            薄雲              
cloud_boots.c       奔雲                dagger.c            血之匕首          
dagger2.c           匕首                dagger3.c           十方靈動          
dagger4.c           月之匕首            f_armor.c           狐皮              
f_boots.c           狐皮                f_cloak.c           狐皮              
f_cloth.c           狐皮                f_gloves.c          狐皮              
f_hat.c             狐皮                f_leg.c             狐骨              
f_neck.c            狐牙                f_pants.c           狐皮              
f_ring.c            狐眼                f_waist.c           狐尾              
f_wrists.c          狐骨                fist.c              鷹爪              
fist2.c             九狐爪              fist3.c             九狐爪            
purple-cloud_chain_armor.c  紫雲鍊甲            surcoat.c           薄雲              
surcoat2.c          羽毛披風            tiger-strip_pants.c  虎紋              
tooth.c             九                  tooth1.c            九                
wit-neck.c          日月法鍊            wrists.c            羽毛護腕          

