目錄﹕/open/world1/wp/
belis_spear.c       畢里斯矛            cv_whip.c           狂音鞭            
ds_dagger.c         龍咬                ds_fist.c           豹\爪             
ds_pike.c           鶴啄                ds_staff.c          暗金剛器          
ds_sword.c          虎吼                ds_whip.c           蛇牙              
flame_blade.c       炎骨刀              ghost_fork.c        鬼叉              
ghost_sword.c       鬼頭長劍            hammer_16.c         大鐵鎚            
pike_13.c           短槍                purple_hammer.c     紫炎鎚            
soon_flame.c        瞬炎                steel_staff.c       金剛杖            
stone_axe.c         長柄石斧            th_sword.c          雷神劍            
tiger_claw.c        炎虎爪              wind_soul.c         風魂              
wood_bow.c          巨木弓              woodfist_8.c        木製指虎          

