目錄﹕/open/world2/npc/
basic_master.c      亞克                beast_bolau_3.c     伯勞鳥            
beast_bug_1.c       小蟲                beast_butterfly_1.c  小蝴蝶            
beast_butterfly_3.c  黑鳳蝶              beast_cat_2.c       小花貓            
beast_cat_4.c       黑貓                beast_cow_10.c      母牛              
beast_cow_14.c      水牛                beast_cow_5.c       小牛              
beast_deer_15.c     白尾鹿              beast_deer_4.c      小鹿              
beast_deer_6.c      花鹿                beast_deer_9.c      山鹿              
beast_dog_3.c       小白                beast_dog_4.c       小黑              
beast_dog_5.c       老黃                beast_dove_1.c      鴿子              
beast_fish_1.c      大肚魚              beast_fish_3.c      鯉魚              
beast_frog_3.c      綠皮青蛙            beast_ladybug_2.c   小瓢蟲            
beast_luckybirda_1.c  [1;31m紅冠幸運鳥[0m  beast_mosquito_1.c  蚊子              
beast_owl_5.c       貓頭鷹              beast_pig_18.c      母山豬            
beast_pig_2.c       乳豬                beast_pig_3.c       小山豬            
beast_pig_7.c       野豬                beast_pig_8.c       母豬              
beast_rat_3.c       老鼠                beast_roach_2.c     蟑螂              
beast_sparrow_1.c   麻雀                beast_spider_16.c   闇蜘蛛            
beast_spider_5.c    灰蜘蛛              beast_spider_8.c    人面蜘蛛          
beast_squirrel_3.c  松鼠                beast_swallow_2.c   小燕子            
malo_annh_19.c      安老大              malo_babyruby_6.c   小茹比            
malo_banker_15.c    銀行助理            malo_barboss_17.c   酒店老闆          
malo_barcook_21.c   周朝富              malo_barlady_17.c   服務小姐          
malo_eqboss_18.c    防具店老闆          malo_guard_18.c     梅龍鎮警衛        
malo_haoming_12.c   應皓明              malo_inner_12.c     旅館櫃檯小姐      
malo_itemboss_17.c  道具店老闆          malo_jameschen_16.c  陳銘崧            
malo_kenny_18.c     肯尼                malo_leolee_17.c    李鎮宇            
malo_oldlady_9.c    王婆婆              malo_researchman1_14.c  康德溫            
malo_shoper_19.c    商店老闆            malo_spock_18.c     史巴克            
malo_towerguard_19.c  瞭望塔警衛          malo_towerguard_25.c  瞭望塔隊長        
malo_wpboss_18.c    武器店老闆          
