目錄﹕/open/world1/kkeenn/love/npc/obj/
armor.c             烈情                ash.c               灰燼              
blood_whip.c        血魔鞭              dragon_whip.c       龍王鞭            
ghost_whip.c        詭譎鞭              letter.c            妙法的家信        
obj.c               情焰爐              pill0.c             變性丹            
pill1.c             真丹                pill10.c            豹\胎易筋丸       
pill2.c             絮丹                pill3.c             靈丹              
pill4.c             花丹                pill5.c             迎丹              
pill6.c             芝丹                pill7.c             蓉丹              
pill8.c             之丹                pill9.c             【                
ten_pearl.c         十方聖珠            well.c              水井              
whip0.c             氣鞭                whip1.c             竹鞭              
whip2.c             精鋼鞭              whip3.c             軟鞭              
whip4.c             速鞭                whip5.c             夢情鞭            
whip6.c             霸天鞭              whip7.c             舞絕鞭            

