目錄﹕/u/f/faceoff/area/npc/eq/
armor.c             鋼鐵鎧              bear_bolt.c         熊之臂彎          
big_pan.c           青鐵馬掛筆          black_suit.c        夜行衣            
bolt.c              弩箭                bone_helmet.c       鯊骨盔            
clam_shield.c       巨蚌盾              cloth.c             布衣              
cloud_ring.c        扣雲戒              crossbow.c          十字弓            
dagger.c            匕首                dex_boots.c         玲瓏靴            
dragon_blade.c      龍                  dragon_dagger.c     入雲龍            
fire_bullet.c       火藥                fire_gun.c          火槍              
fur_armor.c         戰鬥皮甲            fur_waist.c         獸皮巾帶          
gold_fur_boots.c    金絲亮皮履          grass_boots.c       輕草履            
horse_pike.c        麟馬槍              iron_fist.c         鐵爪              
iron_hammer.c       鏽鐵鎚              lasersword.c        電光劍            
longsword.c         長劍                lumber_axe.c        劈柴鐵斧          
owl_armor.c         梟形皮甲            owl_cloth.c         梟形武衣          
sandels.c           硬革草鞋            sea-blade.c         碧海餘韻          
sea_cloth.c         寬腰大馬掛          sea_uniform.c       制服              
shootbow.c          弩                  sky_amult.c         天梟護身符        
sky_boots.c         朱雀戰靴            sky_cloth.c         朱雀戰衣          
sky_hat.c           朱雀戰盔            sky_helm.c          朱雀戰盔          
sky_neck.c          天梟護身符          sob_dagger.c        泣心              
soldier_boots.c     水師軍靴            steel_blade.c       鋼刀              
steel_dagger.c      烏鋼匕首            sword.c             浮                
viper_cloth.c       蟒錦戰衣            water_boots.c       踩水靴            
wood_axe.c          木柄斧              worker_cloth.c      工作服            

