命令 sg 是可以带以下参数的。以后肯定会增加以方便大家。
-----------------------------------------------------
about           cloth           horse           obj
anding          eat             ji              other
area            general         keeper          pants
armor           guan            king            shoe
blade           hammer          luoyang         sword
book            hand            map             torso
breast          hat             module          town
changan         help            money           txt
city            hongnong        moshi           weapon
xiakou                                          

