  5  金项链(xiang lian)            ：二十五两白银        ：还剩五十串
 15  鬼头刀(gui tou dao)           ：十五两白银          ：还剩四十九柄
 18  铁板刀(iron blade)            ：五两白银            ：还剩二柄
 19  狼皮裙(wolf skirt)            ：一两白银            ：还剩五十件
 20  白袍(white cloth)             ：二两白银            ：还剩二十八件
 22  紫绣袍(cloth)                 ：十两白银            ：还剩三件
 28  砍刀(blade)                   ：十两白银            ：还剩四十九把
 29  牛头刀(niutou dao)            ：一两白银又十文钱    ：还剩十一把
 31  素棉短裙(skirt)               ：三两白银            ：还剩五件
 36  乌龙锏(dragon mace)           ：五十两白银          ：还剩四十七根
 37  软香鞋(shoes)                 ：二十两白银          ：还剩五十双
 38  镔铁棍(bintiegun)             ：二十两白银          ：还剩二根
 39  紫花细纱战裙(skirt)           ：二两白银            ：还剩一件
 42  马褂(magua)                   ：五两白银            ：还剩五十件
 47  牛角刃(niujiao ren)           ：二两白银            ：还剩七把
 55  紫花丝绒护裙(skirt)           ：二两白银            ：还剩二件
 59  渌水罗衣(fancy skirt)         ：十五两白银          ：还剩四十九件
 60  龙骨枪(dragon spear)          ：五十两白银          ：还剩四十五把
 61  铁盔(tie kui)                 ：十两白银            ：还剩四顶
 62  薄麻袄(cloth)                 ：三两白银            ：还剩一件
 65  雁云刀(yanyun blade)          ：十五两白银          ：还剩四十六把
 66  凤冠(jin fengguan)            ：八两白银            ：还剩三顶
 68  虎头刀(hutou dao)             ：三两白银又九十文钱  ：还剩五十把
 69  乌心坚木甲(armor)             ：二两白银            ：还剩三件
 70  短弯刀(duan wan dao)          ：四两白银            ：还剩二把
 82  镶边龟纹甲(armor)             ：二两白银            ：还剩一件
 83  鎏金腕链(liujin wanlian)      ：五十两白银          ：还剩二十六个
 85  五色梅浅红裙(pink skirt)      ：三十两白银          ：还剩四十六袭
 86  压花灌铅甲(armor)             ：二两白银            ：还剩四件
 91  黑铜甲(armor)                 ：二两白银            ：还剩二件
 93  细锦短裙(skirt)               ：三两白银            ：还剩一件
 95  细麻袄(cloth)                 ：三两白银            ：还剩三件
106  素纱长裙(skirt)               ：三两白银            ：还剩一件
110  青缎袄(ao)                    ：十两白银            ：还剩五十件
115  花褶靴(flower boots)          ：八两白银            ：还剩四十六双
119  毡帽(hat)                     ：一两白银            ：还剩十顶
124  凤鸣刀(feng ming dao)         ：十五两白银          ：还剩五十柄
125  绿绒袍(cloth)                 ：十两白银            ：还剩三件
128  绸袍(choupao)                 ：六两白银            ：还剩四十九件
130  紫花柳絮护裙(skirt)           ：二两白银            ：还剩一件
131  灰铜甲(armor)                 ：二两白银            ：还剩二件
133  花缎薄裙(skirt)               ：三两白银            ：还剩五件
134  细纱短裙(skirt)               ：三两白银            ：还剩一件
