年份    影响    影响地区

甲子     福     东、北部
乙丑     祸     东、中部
丙寅     福     东、南部
丁卯     福     东、南部
戊辰     无        无
己巳     福     中、南部
庚午     祸     西、南部
辛未     福     中、西部
壬申     福     西、北部
癸酉     福     西、北部
甲戌     祸     东、中部
乙亥     福     东、北部
丙子     祸     南、北部
丁丑     福     中、南部
戊寅     祸     中、东部
己卯     祸     中、东部
庚辰     福     中、西部
辛巳     祸     西、南部
壬午     祸     南、北部
癸未     祸     中、北部
甲申     祸     东、西部
乙酉     祸     东、西部
丙戌     福     中、南部
丁亥     祸     南、北部
戊子     祸     中、北部
己丑     无        无
庚寅     祸     东、西部
辛卯     祸     东、西部
壬辰     祸     中、北部
癸巳     祸     南、北部
甲午     福     东、南部
乙未     祸     中、东部
丙申     祸     西、南部
丁酉     祸     西、南部
戊戌     无        无
己亥     祸     中、北部
庚子     福     西、北部
辛丑     福     中、西部
壬寅     福     东、北部
癸卯     福     东、北部
甲辰     祸     中、北部
乙巳     福     东、南部
丙午     无        无
丁未     福     中、南部
戊申     福     中、西部
己酉     福     中、西部
庚戌     福     中、西部
辛亥     福     西、北部
壬子     无        无
癸丑     祸     中、北部
甲寅     无        无
乙卯     无        无
丙辰     福     中、南部
丁巳     无        无
戊午     福     中、南部
己未     无        无
庚申     无        无
辛酉     无        无
壬戌     祸     中、北部
癸亥     无        无

