叛师

离开原来的门派，可以在种族限定范围内重新选择自己喜欢的门派，
每次叛师损失原门派的特殊内功和特殊法术，损失1/10的道行和武学
修为。

各门派叛师要问的npc

jjf             开国元勋 秦琼(Qin qiong)
putuo           南海普陀山第四代弟子 掌禅僧(Zhangchan seng)
psd             盘丝洞第三代弟子 香香(Xiang xiang)
fc              方寸山三星洞第二代首徒 广筠子(Guang yunzi)
hell            引魄司主 黑无常(Hei wuchang)
longgong        紫云公主 龙女(Long nu)
hyd             火云洞健将 急如火(Jiru huo)
wdd             大管家 田鼠精(Tian shu)
shushan         剑圣(Jian sheng)
wzg             五庄观第三代弟子 铁拐李(Tieguai li)
xueshan         明王护法 秃鹰尊者(Tuying zunzhe)
sanjie          天一宫 朝阳天师(Master zhaoyang)
youxia          闲云野鹤 天机老人(Tianji laoren)
emei            峨嵋派大师兄 丹辰子(Danchen zi)
shaolin         嵩山少林寺方丈大师 玄慈大师(Xuanci dashi)
kunlun          昆仑山玉虚洞管家 陆压(Luya)
swordman        神谷道场馆主 神谷熏(Master xun)
tiankongjie     八部众-修罗王 日高一平(Rigao yiping)
wusheng         武帝门 护法尊者(Hufa zunzhe)
mojie           佛 母 孔雀大明王(Kongque)
sanxian         三界散仙第二代师傅 中山夫子(Zhongshan fuzi)
wudang          武当七侠之首 宋远桥(Song yuanqiao)
mingjiao        明教五散人「冷面先生」冷谦(Leng qian)


