actionavailable.c     右键菜单
ansuan.c              暗算别人
ask.c                 说话
attack.c              让某动物帮你攻击
auction.c             拍卖与竞价
beg.c                 乞讨
check.c               打听别人所学过的技能丐帮弟子专用
close.c               关上门
drop.c                丢弃物品
eat.c                 吃东西
emote.c               自定义表情
fight.c               与别人比武
follow.c              跟随
get.c                 让你捡起地上或容器内的某样物品
give.c                给谁什麽东西
go.c                  让你往指定的方向移动
guard.c               保护<某人>
hit.c                 攻击别人
jiebai.c              结拜
kantou.c              让你砍下地上死者的头颅
kill.c                杀死别人
look.c                看
makelove.c            做爱
open.c                打开门
put.c                 物品放进一个容器   
release.c             放生动物
remove.c              脱掉身上某件防具
reply.c               回答别人
ride.c                骑上代步的已驯养的动物
say.c                  说话
setwmsg.c             为自己的武器加入装备以及卸下时的描述
sleep.c               睡觉
steal.c               偷到他人身上的东西
stop.c                让帮你咬人的动物停止攻击
suicide.c             自杀
surrender.c           投降而终止战斗
tell.c                千里传音
touxi.c               偷袭
unride.c              从骑着的已驯养的动物上跳下来
unwield.c             放下手中的武器
wear.c                装备某件防具
whisper.c             对谁耳语
wield.c               装备某件武器

