alias.c      自定义指令 
allowip.c    设定的登录地址
describe.c   别人LOOK时的自己描述
enforce.c    使出几点内力伤敌
femote.c     查找动作命令
finger.c     查看玩家的连线, 权限等资料
fly.c        直接到达某个地方
help.c       查看帮助信息
hp.c         查看精气神状态
icon.c       查询和修改自己的头像编号
inventory.c  查看身上物品
mudtime.c    服务器运行时间
nick.c       给自己加绰号
passwd.c     修改你的人物密码
quest.c      查询你目前的任务
quit.c       离线指令
time.c       让你(你)知道现在的时间
save.c       档案储存
score.c      察看基本状态资料
semote.c     动作表情命令表
set.c        环境变数 
skills.c     查看武功 
tune.c       设置查看聊天频道
unset.c      删除环境变数的设定
version.c    显示游戏目前所用的 MudOS driver 版本
who.c        在线玩家
wimpy.c      逃跑时「气」的百分比
wizlist.c    管理人员列表

