定义：动 物 类：attack, armor, damage, dodge
      普 通 类：unarmed, parry, dodge	武功随机正负5, 经验随机*1~2
      技 能 类：B-基本技能，S-特殊技能

地点	姓名	  武功		其它		金  经验  神	穿着
--------------------------------------------------------------------------------
将军府	大将军	  B200, S160    da-jiangjun		  +250	金铠宝甲, 紫金盔, 紫金靴
	军师	  B200, S160    junshi			  +250  银铠宝甲, 碧玉冠, 朝天履
	征东将军  B200, S150    zhengdong-jiangjun	  +200  征东战袍, 鎏金盔, 鎏金靴
	镇南将军  B200, S150    zhennan-jiangjun	  +200  镇南战袍, 鎏金盔, 鎏金靴
	平西将军  B200, S150    pingxi-jiangjun	 	  +200  平西战袍, 鎏金盔, 鎏金靴
	扫北将军  B200, S150    saobei-jiangjun		  +200  扫北战袍, 鎏金盔, 鎏金靴
	前将军	  B180, S140    qian-jiangjun		  +150  金锁战甲, 黄金盔, 黄金靴
	后将军	  B180, S140    hou-jiangjun		  +150  金锁战甲, 黄金盔, 黄金靴
	左将军	  B180, S140    zuo-jiangjun		  +150  金锁战甲, 黄金盔, 黄金靴
	右将军	  B180, S140    you-jiangjun		  +150  金锁战甲, 黄金盔, 黄金靴
	龙骧将军  B150, S130    longxiang-jiangjun	  +100  银锁战甲, 亮银盔, 亮银靴
	征虏将军  B150, S130    zhenglu-jiangjun	  +100  银锁战甲, 亮银盔, 亮银靴
	辅国将军  B150, S130    fuguo-jiangjun		  +100  银锁战甲, 亮银盔, 亮银靴
	武卫将军  B150, S130    wuwei-jiangjun		  +100  银锁战甲, 亮银盔, 亮银靴
	扬威将军  B130, S120    yangwei-jiangjun	  +50   铜锁战甲, 铜盔, 铜靴
	扬武将军  B130, S120    yangwu-jiangjun		  +50   铜锁战甲, 铜盔, 铜靴
	讨逆将军  B130, S120    taoni-jiangjun		  +50   铜锁战甲, 铜盔, 铜靴
	破虏将军  B130, S120    polu-jiangjun		  +50   铜锁战甲, 铜盔, 铜靴
	威远将军  B130, S120    weiyuan-jiangjun	  +50   铜锁战甲, 铜盔, 铜靴
	虎威将军  B130, S120    huwei-jiangjun		  +50   铜锁战甲, 铜盔, 铜靴
	参将	  B110, S110	chanjiang		  +30	铁锁战甲, 铁盔, 铁靴
	牙将	  B110, S110	yajiang			  +30	铁锁战甲, 铁盔, 铁靴
	偏将	  B110, S110	pianjiang		  +30	铁锁战甲, 铁盔, 铁靴
	裨将	  B110, S110	pijiang			  +30	铁锁战甲, 铁盔, 铁靴
	近卫	  B100, S150	jinwei			  +10	战袍, 头盔, 战靴
	队长	  B100, S120	duizhang		  +10	战甲, 头盔, 战靴
	老兵	  B100, S100	laobing			  +10	战甲, 头盔, 战靴
	官兵	  B100, S50	guanbing		  +10	战甲, 头盔, 战靴
--------------------------------------------------------------------------------
By Micro Liang (97-07-01)
